freq,L,Q,N,L1,L2,W,S,"mag(S(1,1))","phase(S(1,1))"
900.0 MHz,14.294,73.614,0.25,2.0,2.0,0.1,0.1,,
900.0 MHz,10.841,104.935,0.25,2.0,2.0,0.2,0.2,0.998,166.02
900.0 MHz,11.411,103.917,0.25,2.0,2.1,0.2,0.2,0.998,165.293
900.0 MHz,12.542,102.501,0.25,2.0,2.3,0.2,0.2,0.997,163.854
900.0 MHz,13.109,102.051,0.25,2.0,2.4,0.2,0.2,0.997,163.134
900.0 MHz,13.68,101.42,0.25,2.0,2.5,0.2,0.2,0.997,162.411
900.0 MHz,27.657,101.901,0.25,2.0,4.9,0.2,0.3,0.994,145.262
900.0 MHz,24.97,115.483,0.25,2.0,4.9,0.25,0.3,0.995,148.46
900.0 MHz,23.349,123.108,0.25,2.0,4.9,0.3,0.3,0.996,150.415
900.0 MHz,28.242,101.778,0.25,2.0,5.0,0.2,0.3,0.994,144.572
900.0 MHz,25.512,115.297,0.25,2.0,5.0,0.25,0.3,0.995,147.811
900.0 MHz,14.294,73.614,0.25,2.1,2.0,0.1,0.1,,
900.0 MHz,10.841,104.935,0.25,2.1,2.0,0.2,0.2,0.998,166.02
900.0 MHz,14.976,72.944,0.25,2.1,2.1,0.1,0.1,0.995,160.773
900.0 MHz,11.411,103.917,0.25,2.1,2.1,0.2,0.2,0.998,165.293
900.0 MHz,12.542,102.501,0.25,2.1,2.3,0.2,0.2,0.997,163.854
900.0 MHz,13.109,102.051,0.25,2.1,2.4,0.2,0.2,0.997,163.134
900.0 MHz,13.68,101.42,0.25,2.1,2.5,0.2,0.2,0.997,162.411
900.0 MHz,27.657,101.901,0.25,2.1,4.9,0.2,0.3,0.994,145.262
900.0 MHz,24.97,115.483,0.25,2.1,4.9,0.25,0.3,0.995,148.46
900.0 MHz,28.242,101.778,0.25,2.1,5.0,0.2,0.3,0.994,144.572
900.0 MHz,25.512,115.297,0.25,2.1,5.0,0.25,0.3,0.995,147.811
900.0 MHz,14.294,73.614,0.25,2.2,2.0,0.1,0.1,,
900.0 MHz,10.841,104.935,0.25,2.2,2.0,0.2,0.2,0.998,166.02
